dataset,method,seed,retention,matched_target_dim,selection_rule,original_dim,selected_dim,reduction_pct,original_accuracy,selected_accuracy,accuracy_delta_pct_points,original_f1,selected_f1,f1_delta_pct_points,total_time_sec,selected_features
MagicGamma.csv,VT,0,0.75,4,"top variance features, matched_k, k=4",10,4,60.0,0.8146687697160884,0.7100420609884333,-10.46267087276551,0.7815583623271216,0.5878933837521946,-19.366497857492703,48.53221260756254,fDist;fAsym;fM3Long;fLength
MagicGamma.csv,VT,1,0.75,4,"top variance features, matched_k, k=4",10,4,60.0,0.7902208201892744,0.7310725552050473,-5.914826498422709,0.7229930264433035,0.6187126029681396,-10.428042347516397,59.993109069764614,fDist;fAsym;fM3Long;fLength
MagicGamma.csv,VT,2,0.75,4,"top variance features, matched_k, k=4",10,4,60.0,0.7247634069400631,0.7068874868559412,-1.7875920084121977,0.6153224369360342,0.5916165790886267,-2.370585784740742,58.69421000778675,fDist;fAsym;fM3Long;fLength
MagicGamma.csv,VT,3,0.75,4,"top variance features, matched_k, k=4",10,4,60.0,0.8004731861198738,0.7210830704521556,-7.939011566771825,0.7416618953630982,0.6055058506382848,-13.615604472481346,47.28861604630947,fDist;fAsym;fM3Long;fLength
MagicGamma.csv,VT,4,0.75,5,"top variance features, matched_k, k=5",10,5,50.0,0.7216088328075709,0.7534174553101998,3.1808622502628836,0.5963594116583194,0.6627975722459447,6.64381605876253,46.6197327747941,fDist;fAsym;fM3Long;fLength;fAlpha
MagicGamma.csv,MI,0,0.75,4,"SelectKBest(mutual_info_classif), matched_k, k=4",10,4,60.0,0.8146687697160884,0.7878548895899053,-2.681388012618302,0.7815583623271216,0.7255025217180355,-5.605584060908608,40.88283634930849,fLength;fWidth;fM3Long;fAlpha
MagicGamma.csv,MI,1,0.75,4,"SelectKBest(mutual_info_classif), matched_k, k=4",10,4,60.0,0.7902208201892744,0.7794426919032598,-1.0778128286014654,0.7229930264433035,0.7047820582420601,-1.821096820124346,40.5060024112463,fLength;fWidth;fM3Long;fAlpha
MagicGamma.csv,MI,2,0.75,4,"SelectKBest(mutual_info_classif), matched_k, k=4",10,4,60.0,0.7247634069400631,0.7607781282860148,3.601472134595163,0.6153224369360342,0.6895593939483076,7.42369570122734,48.59254655987024,fLength;fWidth;fM3Long;fAlpha
MagicGamma.csv,MI,3,0.75,4,"SelectKBest(mutual_info_classif), matched_k, k=4",10,4,60.0,0.8004731861198738,0.749211356466877,-5.1261829652996855,0.7416618953630982,0.6365347380718017,-10.512715729129651,58.7470586001873,fLength;fWidth;fM3Long;fAlpha
MagicGamma.csv,MI,4,0.75,5,"SelectKBest(mutual_info_classif), matched_k, k=5",10,5,50.0,0.7216088328075709,0.7103049421661409,-1.1303890641430003,0.5963594116583194,0.5709390357937695,-2.5420375864549927,46.12153896689415,fLength;fWidth;fM3Long;fM3Trans;fAlpha
MagicGamma.csv,CHI,0,0.75,4,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=4",10,4,60.0,0.8146687697160884,0.8028391167192429,-1.1829652996845463,0.7815583623271216,0.7540682609272824,-2.7490101399839206,40.67088129371405,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,CHI,1,0.75,4,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=4",10,4,60.0,0.7902208201892744,0.7773396424815984,-1.288117770767605,0.7229930264433035,0.6983046286253791,-2.4688397817924423,38.838088035583496,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,CHI,2,0.75,4,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=4",10,4,60.0,0.7247634069400631,0.7833859095688749,5.862250262881174,0.6153224369360342,0.732281350154405,11.695891321837081,46.066589668393135,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,CHI,3,0.75,4,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=4",10,4,60.0,0.8004731861198738,0.8054679284963197,0.49947423764458154,0.7416618953630982,0.7526365017752428,1.0974606412144539,40.247341603040695,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,CHI,4,0.75,5,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=5",10,5,50.0,0.7216088328075709,0.806782334384858,8.517350157728709,0.5963594116583194,0.7627361286547674,16.637671699644795,38.47976440936327,fLength;fWidth;fSize;fM3Long;fAlpha
MagicGamma.csv,RFE,0,0.75,4,"RFE(RandomForestClassifier), matched_k, k=4",10,4,60.0,0.8146687697160884,0.8028391167192429,-1.1829652996845463,0.7815583623271216,0.7540682609272824,-2.7490101399839206,41.90235545486212,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,RFE,1,0.75,4,"RFE(RandomForestClassifier), matched_k, k=4",10,4,60.0,0.7902208201892744,0.7773396424815984,-1.288117770767605,0.7229930264433035,0.6983046286253791,-2.4688397817924423,36.114600606262684,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,RFE,2,0.75,4,"RFE(RandomForestClassifier), matched_k, k=4",10,4,60.0,0.7247634069400631,0.7833859095688749,5.862250262881174,0.6153224369360342,0.732281350154405,11.695891321837081,43.47211451083422,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,RFE,3,0.75,4,"RFE(RandomForestClassifier), matched_k, k=4",10,4,60.0,0.8004731861198738,0.8054679284963197,0.49947423764458154,0.7416618953630982,0.7526365017752428,1.0974606412144539,39.71201242506504,fLength;fWidth;fSize;fAlpha
MagicGamma.csv,RFE,4,0.75,5,"RFE(RandomForestClassifier), matched_k, k=5",10,5,50.0,0.7216088328075709,0.806782334384858,8.517350157728709,0.5963594116583194,0.7627361286547674,16.637671699644795,38.440530106425285,fLength;fWidth;fSize;fM3Long;fAlpha
MagicGamma.csv,RFC,0,0.75,4,"RandomForest feature importance top-k, matched_k, k=4",10,4,60.0,0.8146687697160884,0.8028391167192429,-1.1829652996845463,0.7815583623271216,0.7540682609272824,-2.7490101399839206,42.60086181014776,fAlpha;fLength;fWidth;fSize
MagicGamma.csv,RFC,1,0.75,4,"RandomForest feature importance top-k, matched_k, k=4",10,4,60.0,0.7902208201892744,0.7773396424815984,-1.288117770767605,0.7229930264433035,0.6983046286253791,-2.4688397817924423,37.31048193573952,fAlpha;fLength;fWidth;fSize
MagicGamma.csv,RFC,2,0.75,4,"RandomForest feature importance top-k, matched_k, k=4",10,4,60.0,0.7247634069400631,0.7833859095688749,5.862250262881174,0.6153224369360342,0.732281350154405,11.695891321837081,43.93798653781414,fAlpha;fLength;fWidth;fSize
MagicGamma.csv,RFC,3,0.75,4,"RandomForest feature importance top-k, matched_k, k=4",10,4,60.0,0.8004731861198738,0.8054679284963197,0.49947423764458154,0.7416618953630982,0.7526365017752428,1.0974606412144539,41.66317031532526,fAlpha;fLength;fWidth;fSize
MagicGamma.csv,RFC,4,0.75,5,"RandomForest feature importance top-k, matched_k, k=5",10,5,50.0,0.7216088328075709,0.806782334384858,8.517350157728709,0.5963594116583194,0.7627361286547674,16.637671699644795,38.58585783094168,fAlpha;fLength;fWidth;fSize;fM3Long
BrainMethod.csv,VT,0,0.75,8,"top variance features, matched_k, k=8",21,8,61.904761904761905,0.9323090485485801,0.9107109124110573,-2.1598136137522816,0.8929960982795682,0.8528005295172116,-4.019556876235653,81.80881828814745,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO
BrainMethod.csv,VT,1,0.75,8,"top variance features, matched_k, k=8",21,8,61.904761904761905,0.9341351300295951,0.9059253195642591,-2.8209810465335994,0.8971055763084639,0.8556716409194398,-4.143393538902407,96.13055939227343,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO
BrainMethod.csv,VT,2,0.75,9,"top variance features, matched_k, k=9",21,9,57.142857142857146,0.9265789307978087,0.9079403060260689,-1.8638624771739831,0.8836429218687021,0.8540337885872109,-2.9609133281491173,88.97698237001896,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM
BrainMethod.csv,VT,3,0.75,10,"top variance features, matched_k, k=10",21,10,52.38095238095238,0.9194635098545432,0.9076254643914111,-1.1838045463132052,0.8733913279344723,0.853906471667916,-1.9484856266556272,102.07156564295292,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV
BrainMethod.csv,VT,4,0.75,10,"top variance features, matched_k, k=10",21,10,52.38095238095238,0.9350796549335684,0.9033436181600655,-3.1736036773502896,0.8974500162252376,0.8507378906739049,-4.671212555133264,114.52137244492769,LOC;NOAV;LAA;FANIN;FANOUT;NOEU;CCL;CYCLO;CM;NOLV
BrainMethod.csv,MI,0,0.75,8,"SelectKBest(mutual_info_classif), matched_k, k=8",21,8,61.904761904761905,0.9323090485485801,0.915118695296266,-1.7190353252314106,0.8929960982795682,0.8659029687078355,-2.709312957173271,113.70330122858286,CYCLO;FANOUT;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV
BrainMethod.csv,MI,1,0.75,8,"SelectKBest(mutual_info_classif), matched_k, k=8",21,8,61.904761904761905,0.9341351300295951,0.9138593287576349,-2.027580127196027,0.8971055763084639,0.8646619812563654,-3.2443595052098484,135.5555260181427,CYCLO;FANOUT;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV
BrainMethod.csv,MI,2,0.75,9,"SelectKBest(mutual_info_classif), matched_k, k=9",21,9,57.142857142857146,0.9265789307978087,0.9360241798375417,0.9445249039732984,0.8836429218687021,0.8931041361847984,0.9461214316096367,262.1769734919071,CYCLO;FANOUT;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,3,0.75,10,"SelectKBest(mutual_info_classif), matched_k, k=10",21,10,52.38095238095238,0.9194635098545432,0.9233675461242995,0.3904036269756328,0.8733913279344723,0.876115222799831,0.27238948653587336,152.75212417542934,CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,MI,4,0.75,10,"SelectKBest(mutual_info_classif), matched_k, k=10",21,10,52.38095238095238,0.9350796549335684,0.9339462250488004,-0.11334298847679447,0.8974500162252376,0.890346794901056,-0.7103221324181619,136.25199700891972,CYCLO;FANOUT;FANOUTCLASS;FDP;LAA;LOC;MAXNESTING;NOAV;NOLV;NOP
BrainMethod.csv,CHI,0,0.75,8,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=8",21,8,61.904761904761905,0.9323090485485801,0.933442478433348,0.11334298847679447,0.8929960982795682,0.8876933214953213,-0.5302776784246843,123.51298294961452,ATFD;CDISP;CEXT;CYCLO;FANOUT;FDP;MAXNESTING;NOP
BrainMethod.csv,CHI,1,0.75,8,"SelectKBest(chi2 after MinMaxScaler), matched_k, k=8",21,8,61.904761904761905,0.9341351300295951,0.9339462250488004,-0.018890498079471296,0.8971055763084639,0.8915707949448929,-0.5534781363570995,185.33037661015987,ATFD;CDISP;CEXT;CYCLO;FANOUT;FDP;MAXNESTING;NOP
